PlayerID,TeamName,PlayerName,PlayerRole,PlayerSalary
440,Netherlands," Brandon Glover",Bowler,0.0
440,Netherlands," Brandon Glover",Bowler,0.0
440,Netherlands," Brandon Glover",Bowler,0.0
736,Glamorgan," F Zaman",Batsman,0.0
686,"Surrey Stars"," Gwenan Davies",AllRounder,0.0
686,"Surrey Stars"," Gwenan Davies",AllRounder,0.0
484,"Southern Vipers"," Paige Scholfield",AllRounder,0.0
484,"Southern Vipers"," Paige Scholfield",AllRounder,0.0
698,Sussex," Stiaan van Zyl",Batsman,0.0
482,"Southern Vipers"," Thea Brookes",Batsman,0.0
482,"Southern Vipers"," Thea Brookes",Batsman,0.0
516,"TUTI Patriots","A Venkatesh",Bowler,0.0
753,"Vancouver Knights","Aaron Summers",Bowler,0.0
709,Sussex,"Aaron Thomason",Bowler,0.0
448,"United Arab Emirates","Abdul Shakoor",WicketKeeper,0.0
448,"United Arab Emirates","Abdul Shakoor",WicketKeeper,0.0
448,"United Arab Emirates","Abdul Shakoor",WicketKeeper,0.0
790,"Lyca Kovai Kings","Abhinav Mukund",Batsman,0.0
692,Sussex,"Abidine Sakande",Bowler,0.0
598,"Loughborough Lightning","Abigail Freeborn",WicketKeeper,0.0
598,"Loughborough Lightning","Abigail Freeborn",WicketKeeper,0.0
626,"Brampton Wolves","Abraash Khan",Batsman,0.0
911,Kent,"Adam Milne",Bowler,0.0
832,Northamptonshire,"Adam Rossington",WicketKeeper,0.0
905,Kent,"Adam Rouse",WicketKeeper,0.0
433,"Dindigul Dragons","Adithya Arun",Bowler,0.0
433,"Dindigul Dragons","Adithya Arun",Bowler,0.0
522,"Ruby Trichy Warriors","Adithya Ganesh",WicketKeeper,0.0
525,"Ruby Trichy Warriors","Aditya Barooah",Batsman,0.0
625,"Brampton Wolves","ADS Fletcher ",WicketKeeper,0.0
454,"United Arab Emirates","Ahmed Raza",Bowler,0.0
454,"United Arab Emirates","Ahmed Raza",Bowler,0.0
454,"United Arab Emirates","Ahmed Raza",Bowler,0.0
883,Gloucestershire,"AJ Tye",Bowler,0.0
565,India,"Ajinkya Rahane",Batsman,0.0
565,India,"Ajinkya Rahane",Batsman,0.0
648,"Edmonton Royals","Akash Gill",AllRounder,0.0
502,"TUTI Patriots","Akash Sivan",Batsman,0.0
791,"Lyca Kovai Kings","Akkil Srinaath",Batsman,0.0
511,"TUTI Patriots","Akshay V Srinivasan",Batsman,0.0
799,"Montreal Tigers","Alasdair Evans",Bowler,0.0
917,Kent,"Alex Blake",Batsman,0.0
702,Sussex,"Alex Carey",WicketKeeper,0.0
615,"Western Storm","Alex Griffiths",Batsman,0.0
475,"Lancashire Thunder","Alex Hartley",Bowler,0.0
475,"Lancashire Thunder","Alex Hartley",Bowler,0.0
870,Durham,"Alex Lees",Batsman,0.0
836,Northamptonshire,"Alex Wakely",Batsman,0.0
757,"Vancouver Knights","Ali Khan",Bowler,0.0
467,"Lancashire Thunder","Alice Dyson",Bowler,0.0
467,"Lancashire Thunder","Alice Dyson",Bowler,0.0
591,"Loughborough Lightning","Alice Monaghan",Bowler,0.0
