PlayerID,TeamName,PlayerName,PlayerRole,PlayerSalary
76478,"Madurai Panthers"," Lokesh Raj",Bowler,0.0
78670,"Chepauk Super Gillies"," Y Jeba Selvin",Bowler,0.0
78672,"Chepauk Super Gillies","A Aarif",WicketKeeper,0.0
76494,"Madurai Panthers","Abhishek Tanwar",Bowler,0.0
76491,"Madurai Panthers","Adhithya Giridhar",Batsman,0.0
76480,"Madurai Panthers","Akash Surma",Bowler,0.0
76489,"Madurai Panthers","Arun Karthik",WicketKeeper,0.0
78656,"Chepauk Super Gillies","Arun Kumar",Bowler,0.0
78667,"Chepauk Super Gillies","B Arun",Bowler,0.0
78658,"Chepauk Super Gillies","Baskaran Rahul",Batsman,0.0
78665,"Chepauk Super Gillies","D Rahul",AllRounder,0.0
76479,"Madurai Panthers","D Rohit",AllRounder,0.0
78654,"Chepauk Super Gillies","G Periyaswamy",Bowler,0.0
78663,"Chepauk Super Gillies","Ganga Sridhar Raju",Batsman,0.0
78669,"Chepauk Super Gillies","H Gopinath",WicketKeeper,0.0
76497,"Madurai Panthers","J Jabez Moses",Batsman,0.0
76488,"Madurai Panthers","Jagatheesan Kousik",AllRounder,0.0
76475,"Madurai Panthers","Karthikeyan R",AllRounder,0.0
78671,"Chepauk Super Gillies","Kaushik Gandhi",Batsman,0.0
76485,"Madurai Panthers","L Kiran Akash",Bowler,0.0
78661,"Chepauk Super Gillies","M Siddharth",Bowler,0.0
78655,"Chepauk Super Gillies","MK Sivakumar",AllRounder,0.0
76495,"Madurai Panthers","MS Promoth",Batsman,0.0
78674,"Chepauk Super Gillies","Murugan Ashwin",Bowler,0.0
76490,"Madurai Panthers","N Selva Kumaran",AllRounder,0.0
78660,"Chepauk Super Gillies","R Alexander",Bowler,0.0
76496,"Madurai Panthers","R Mithun",Bowler,0.0
76481,"Madurai Panthers","R Nilesh Subramanian",WicketKeeper,0.0
78673,"Chepauk Super Gillies","R Thavith Kumar",Batsman,0.0
76487,"Madurai Panthers","Rahil Shah",AllRounder,0.0
78659,"Chepauk Super Gillies","S Harish Kumar",AllRounder,0.0
78662,"Chepauk Super Gillies","S Karthik ",WicketKeeper,0.0
76474,"Madurai Panthers","Sabin Karnavar",AllRounder,0.0
78657,"Chepauk Super Gillies","Samruddh Bhat",Bowler,0.0
76476,"Madurai Panthers","Sarath Raj A",Batsman,0.0
76492,"Madurai Panthers","Shijit Chandran",Batsman,0.0
76482,"Madurai Panthers","Sudhan Kandepan",Batsman,0.0
76483,"Madurai Panthers","SV Muruganantham",Bowler,0.0
76484,"Madurai Panthers","Thalaivan Sargunam",Batsman,0.0
76486,"Madurai Panthers","Tushar Raheja",WicketKeeper,0.0
78668,"Chepauk Super Gillies","Uthirasamy Sasidev",Batsman,0.0
78675,"Chepauk Super Gillies","V Santhanasekar",Bowler,0.0
76477,"Madurai Panthers","Varun Chakravathi",Bowler,0.0
76493,"Madurai Panthers","Veeramani T",AllRounder,0.0
78664,"Chepauk Super Gillies","Vijay Shankar",AllRounder,0.0
78666,"Chepauk Super Gillies","YS Kumar Singh",Bowler,0.0
